file,line,type,commit,author,date,time,timezone,datetime,depth,length
src\routes\+page.svelte,26,css,e72ea19e,Vinasque,2025-04-28,18:47:00,-03:00,2025-04-28T18:47:00-03:00,0,0
src\routes\+page.svelte,27,css,070e6cd3,JoãoGabriel,2025-04-24,15:24:37,-03:00,2025-04-24T15:24:37-03:00,0,0
src\routes\+page.svelte,28,css,e72ea19e,Vinasque,2025-04-28,18:47:00,-03:00,2025-04-28T18:47:00-03:00,0,9
src\routes\+page.svelte,29,css,e72ea19e,Vinasque,2025-04-28,18:47:00,-03:00,2025-04-28T18:47:00-03:00,0,13
src\routes\+page.svelte,30,css,e72ea19e,Vinasque,2025-04-28,18:47:00,-03:00,2025-04-28T18:47:00-03:00,0,22
src\routes\+page.svelte,31,css,e72ea19e,Vinasque,2025-04-28,18:47:00,-03:00,2025-04-28T18:47:00-03:00,0,19
src\routes\+page.svelte,32,css,e72ea19e,Vinasque,2025-04-28,18:47:00,-03:00,2025-04-28T18:47:00-03:00,0,9
src\routes\+page.svelte,33,css,e72ea19e,Vinasque,2025-04-28,18:47:00,-03:00,2025-04-28T18:47:00-03:00,0,0
src\routes\+page.svelte,34,css,e72ea19e,Vinasque,2025-04-28,18:47:00,-03:00,2025-04-28T18:47:00-03:00,0,0
src\routes\+page.svelte,35,css,e72ea19e,Vinasque,2025-04-28,18:47:00,-03:00,2025-04-28T18:47:00-03:00,0,3
src\routes\+page.svelte,36,css,e72ea19e,Vinasque,2025-04-28,18:47:00,-03:00,2025-04-28T18:47:00-03:00,0,15
src\routes\+page.svelte,37,css,e72ea19e,Vinasque,2025-04-28,18:47:00,-03:00,2025-04-28T18:47:00-03:00,0,21
src\routes\+page.svelte,38,css,e72ea19e,Vinasque,2025-04-28,18:47:00,-03:00,2025-04-28T18:47:00-03:00,0,0
src\routes\+page.svelte,39,css,e72ea19e,Vinasque,2025-04-28,18:47:00,-03:00,2025-04-28T18:47:00-03:00,0,0
src\routes\+page.svelte,40,css,e72ea19e,Vinasque,2025-04-28,18:47:00,-03:00,2025-04-28T18:47:00-03:00,0,2
src\routes\+page.svelte,41,css,e72ea19e,Vinasque,2025-04-28,18:47:00,-03:00,2025-04-28T18:47:00-03:00,0,17
src\routes\+page.svelte,42,css,e72ea19e,Vinasque,2025-04-28,18:47:00,-03:00,2025-04-28T18:47:00-03:00,0,16
src\routes\+page.svelte,43,css,e72ea19e,Vinasque,2025-04-28,18:47:00,-03:00,2025-04-28T18:47:00-03:00,0,0
src\routes\+page.svelte,44,css,e72ea19e,Vinasque,2025-04-28,18:47:00,-03:00,2025-04-28T18:47:00-03:00,0,0
src\routes\+page.svelte,45,css,e72ea19e,Vinasque,2025-04-28,18:47:00,-03:00,2025-04-28T18:47:00-03:00,0,14
src\routes\+page.svelte,46,css,e72ea19e,Vinasque,2025-04-28,18:47:00,-03:00,2025-04-28T18:47:00-03:00,0,16
src\routes\+page.svelte,47,css,e72ea19e,Vinasque,2025-04-28,18:47:00,-03:00,2025-04-28T18:47:00-03:00,0,18
src\routes\+page.svelte,48,css,e72ea19e,Vinasque,2025-04-28,18:47:00,-03:00,2025-04-28T18:47:00-03:00,0,25
src\routes\+page.svelte,49,css,e72ea19e,Vinasque,2025-04-28,18:47:00,-03:00,2025-04-28T18:47:00-03:00,0,14
src\routes\+page.svelte,50,css,e72ea19e,Vinasque,2025-04-28,18:47:00,-03:00,2025-04-28T18:47:00-03:00,0,25
src\routes\+page.svelte,51,css,e72ea19e,Vinasque,2025-04-28,18:47:00,-03:00,2025-04-28T18:47:00-03:00,0,21
src\routes\+page.svelte,52,css,e72ea19e,Vinasque,2025-04-28,18:47:00,-03:00,2025-04-28T18:47:00-03:00,0,17
src\routes\+page.svelte,53,css,e72ea19e,Vinasque,2025-04-28,18:47:00,-03:00,2025-04-28T18:47:00-03:00,0,25
src\routes\+page.svelte,54,css,e72ea19e,Vinasque,2025-04-28,18:47:00,-03:00,2025-04-28T18:47:00-03:00,0,21
src\routes\+page.svelte,55,css,e72ea19e,Vinasque,2025-04-28,18:47:00,-03:00,2025-04-28T18:47:00-03:00,0,0
src\routes\+page.svelte,56,css,e72ea19e,Vinasque,2025-04-28,18:47:00,-03:00,2025-04-28T18:47:00-03:00,0,0
src\routes\+page.svelte,57,css,e72ea19e,Vinasque,2025-04-28,18:47:00,-03:00,2025-04-28T18:47:00-03:00,0,20
src\routes\+page.svelte,58,css,e72ea19e,Vinasque,2025-04-28,18:47:00,-03:00,2025-04-28T18:47:00-03:00,0,25
src\routes\+page.svelte,59,css,e72ea19e,Vinasque,2025-04-28,18:47:00,-03:00,2025-04-28T18:47:00-03:00,0,14
src\routes\+page.svelte,60,css,e72ea19e,Vinasque,2025-04-28,18:47:00,-03:00,2025-04-28T18:47:00-03:00,0,0
src\routes\+page.svelte,61,svelte,e72ea19e,Vinasque,2025-04-28,18:47:00,-03:00,2025-04-28T18:47:00-03:00,0,7
src\routes\+layout.svelte,1,svelte,070e6cd3,JoãoGabriel,2025-04-24,15:24:37,-03:00,2025-04-24T15:24:37-03:00,0,7
src\routes\+layout.svelte,2,js,958416f5,JoãoGabriel,2025-04-27,12:45:05,-03:00,2025-04-27T12:45:05-03:00,0,34
src\routes\+layout.svelte,3,js,070e6cd3,JoãoGabriel,2025-04-24,15:24:37,-03:00,2025-04-24T15:24:37-03:00,0,33
src\routes\+layout.svelte,4,js,070e6cd3,JoãoGabriel,2025-04-24,15:24:37,-03:00,2025-04-24T15:24:37-03:00,0,0
src\routes\+layout.svelte,5,js,958416f5,JoãoGabriel,2025-04-27,12:45:05,-03:00,2025-04-27T12:45:05-03:00,0,12
src\routes\+layout.svelte,6,js,02d17769,Gustyper,2025-04-29,01:57:21,-03:00,2025-04-29T01:57:21-03:00,0,27
src\routes\+layout.svelte,7,js,02d17769,Gustyper,2025-04-29,01:57:21,-03:00,2025-04-29T01:57:21-03:00,0,33
src\routes\+layout.svelte,8,js,958416f5,JoãoGabriel,2025-04-27,12:45:05,-03:00,2025-04-27T12:45:05-03:00,0,82
src\routes\+layout.svelte,9,js,958416f5,JoãoGabriel,2025-04-27,12:45:05,-03:00,2025-04-27T12:45:05-03:00,0,1
src\routes\+layout.svelte,10,js,958416f5,JoãoGabriel,2025-04-27,12:45:05,-03:00,2025-04-27T12:45:05-03:00,0,0
src\routes\+layout.svelte,11,js,9ce79269,Vinasque,2025-04-28,18:15:43,-03:00,2025-04-28T18:15:43-03:00,0,32
src\routes\+layout.svelte,12,js,9ce79269,Vinasque,2025-04-28,18:15:43,-03:00,2025-04-28T18:15:43-03:00,0,31
src\routes\+layout.svelte,13,js,070e6cd3,JoãoGabriel,2025-04-24,15:24:37,-03:00,2025-04-24T15:24:37-03:00,0,0
src\routes\+layout.svelte,14,js,9ce79269,Vinasque,2025-04-28,18:15:43,-03:00,2025-04-28T18:15:43-03:00,0,25
src\routes\+layout.svelte,15,js,9ce79269,Vinasque,2025-04-28,18:15:43,-03:00,2025-04-28T18:15:43-03:00,0,0
src\routes\+layout.svelte,16,js,9ce79269,Vinasque,2025-04-28,18:15:43,-03:00,2025-04-28T18:15:43-03:00,0,41
src\routes\+layout.svelte,17,js,9ce79269,Vinasque,2025-04-28,18:15:43,-03:00,2025-04-28T18:15:43-03:00,0,60
